House to Lot Ratio (Bottom),House to Lot Ratio (Top),Acres (Bottom),Acres (Top),VDL Sale Price (Bottom),VDL Sale Price (Top),Records Used,R^2 Test,MSE Test
0.2,0.2,0.01,0.01,0.05,0.05,14586,0.8568214137858603,3.608204887613544
0.2,0.2,0.05,0.01,0.01,0.05,14586,0.8568214137858603,3.608204887613544
0.2,0.2,0.2,0.01,0.01,0.05,14586,0.8568214137858603,3.608204887613544
0.2,0.2,0.1,0.01,0.01,0.05,14586,0.8568214137858603,3.608204887613544
0.2,0.2,0.15,0.01,0.01,0.05,14586,0.8568214137858603,3.608204887613544
0.2,0.2,0.05,0.2,0.05,0.1,13827,0.8567988301186579,3.6166918012612976
0.2,0.2,0.05,0.2,0.01,0.1,13827,0.8567988301186579,3.6166918012612976
0.2,0.2,0.15,0.15,0.05,0.1,13904,0.856763873914079,3.670825051012311
0.2,0.2,0.01,0.15,0.15,0.05,14213,0.856718550337344,3.36002906721556
0.2,0.2,0.01,0.15,0.1,0.05,14213,0.856718550337344,3.36002906721556
0.15,0.2,0.05,0.15,0.2,0.2,13553,0.8567021119546021,3.605847234012444
0.2,0.2,0.2,0.2,0.1,0.1,13783,0.8566867842467937,3.6578446929619224
0.15,0.2,0.15,0.1,0.2,0.05,14365,0.8566425176317757,3.9337820050542662
0.2,0.2,0.05,0.2,0.05,0.2,13454,0.8566389767383946,3.4495347535586545
0.05,0.2,0.15,0.2,0.2,0.15,13768,0.8566315314502313,4.384547312091032
0.2,0.2,0.1,0.15,0.05,0.1,13916,0.8566117857155187,3.354466808282357
0.05,0.2,0.2,0.15,0.01,0.05,14356,0.8566012987672181,4.518929526741832
0.01,0.2,0.2,0.15,0.1,0.15,13910,0.8565855017446162,4.501215577909652
0.2,0.2,0.1,0.05,0.15,0.15,13875,0.856566692182313,3.561866070278502
0.15,0.2,0.01,0.15,0.15,0.2,13594,0.8565508419133812,3.802141229243443
0.2,0.2,0.15,0.2,0.15,0.2,13397,0.8565388944415657,3.5152092163406965
0.05,0.2,0.15,0.15,0.1,0.2,13693,0.8565097816196356,4.4676767494948395
0.2,0.2,0.2,0.1,0.1,0.15,13796,0.856463889226273,3.5005854433572776
0.01,0.2,0.01,0.2,0.05,0.05,14328,0.8562153260298354,4.431347386303901
0.2,0.2,0.15,0.2,0.1,0.01,14255,0.8561841749073447,3.4519322698180734
0.2,0.2,0.15,0.2,0.15,0.01,14255,0.8561841749073447,3.4519322698180734
0.2,0.2,0.15,0.2,0.01,0.01,14255,0.8561841749073447,3.4519322698180734
0.2,0.2,0.15,0.2,0.2,0.01,14255,0.8561841749073447,3.4519322698180734
0.2,0.2,0.15,0.2,0.05,0.01,14255,0.8561841749073447,3.4519322698180734
0.2,0.2,0.05,0.01,0.01,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.1,0.01,0.05,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.1,0.01,0.01,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.2,0.01,0.15,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.15,0.01,0.05,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.05,0.01,0.05,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.05,0.01,0.2,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.1,0.01,0.2,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.2,0.01,0.1,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.05,0.01,0.15,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.15,0.01,0.1,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.15,0.01,0.2,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.15,0.01,0.15,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.01,0.01,0.01,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.2,0.01,0.01,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.15,0.01,0.01,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.1,0.01,0.1,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.2,0.01,0.2,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.01,0.01,0.2,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.05,0.01,0.1,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.2,0.01,0.05,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.01,0.01,0.1,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.01,0.01,0.15,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.1,0.01,0.15,0.01,14800,0.8561482113008164,3.7438395454351534
0.2,0.2,0.01,0.01,0.05,0.01,14800,0.8561482113008164,3.7438395454351534
0.15,0.2,0.01,0.2,0.2,0.15,13674,0.856092174892822,3.890225506356124
0.15,0.2,0.15,0.15,0.1,0.2,13568,0.856012750939719,3.913954295477494
0.15,0.2,0.2,0.15,0.2,0.2,13514,0.855951489208297,3.739251502988594
0.05,0.2,0.15,0.2,0.15,0.15,13785,0.855936448679687,4.5544431958578135
0.2,0.2,0.1,0.15,0.2,0.05,14191,0.8558456570563928,3.4297074727592705
0.2,0.2,0.2,0.15,0.05,0.2,13536,0.8558092934582464,3.440337466100178
0.15,0.2,0.2,0.05,0.1,0.1,14166,0.8557765182430486,3.798945324364465
0.15,0.2,0.15,0.05,0.1,0.1,14166,0.8557765182430486,3.798945324364465
0.15,0.2,0.2,0.1,0.1,0.2,13693,0.8557375724500871,3.717609370750588
0.2,0.2,0.2,0.15,0.05,0.05,14172,0.855717075560236,3.5490499807293925
0.2,0.2,0.2,0.15,0.01,0.05,14172,0.855717075560236,3.5490499807293925
0.2,0.2,0.1,0.15,0.1,0.01,14370,0.8556774216049213,3.531470480301045
0.2,0.2,0.1,0.15,0.01,0.01,14370,0.8556774216049213,3.531470480301045
0.2,0.2,0.1,0.15,0.05,0.01,14370,0.8556774216049213,3.531470480301045
0.15,0.2,0.1,0.15,0.1,0.2,13583,0.8556451387322292,3.8162831739446648
0.2,0.2,0.01,0.1,0.2,0.2,13582,0.8554189928516847,3.4279574104342254
0.05,0.2,0.2,0.15,0.2,0.2,13630,0.8553445592444844,4.193635403426049
0.15,0.2,0.05,0.1,0.2,0.05,14370,0.855338499923277,4.102680138694572
0.2,0.2,0.15,0.15,0.15,0.15,13676,0.8552930942020546,3.717070233917003
0.2,0.2,0.05,0.15,0.15,0.15,13699,0.8552842212452048,3.4609402978322383
0.2,0.2,0.2,0.05,0.05,0.05,14394,0.8552521259278056,3.3464791520136674
0.2,0.2,0.2,0.05,0.01,0.05,14394,0.8552521259278056,3.3464791520136674
0.2,0.2,0.2,0.05,0.1,0.05,14394,0.8552521259278056,3.3464791520136674
0.2,0.2,0.15,0.05,0.05,0.05,14394,0.8552521259278056,3.3464791520136674
0.2,0.2,0.15,0.05,0.1,0.05,14394,0.8552521259278056,3.3464791520136674
0.2,0.2,0.15,0.05,0.01,0.05,14394,0.8552521259278056,3.3464791520136674
0.15,0.2,0.01,0.15,0.1,0.15,13811,0.8552134233593913,3.8996226247959633
0.2,0.2,0.1,0.1,0.15,0.1,14006,0.855198450076488,3.4932190016139217
0.2,0.2,0.1,0.1,0.1,0.1,14006,0.855198450076488,3.4932190016139217
0.05,0.2,0.05,0.2,0.01,0.1,14023,0.855193033217689,4.055249408170116
0.01,0.2,0.15,0.15,0.15,0.2,13704,0.8551750510709428,4.415930519876447
0.2,0.2,0.05,0.1,0.05,0.15,13832,0.8551111246124629,3.6495525005858207
0.15,0.2,0.05,0.05,0.2,0.01,14646,0.855100808708397,3.996126260454679
0.15,0.2,0.05,0.05,0.15,0.01,14646,0.855100808708397,3.996126260454679
0.2,0.2,0.01,0.1,0.05,0.15,13833,0.8549498205690789,3.6005317970627364
0.2,0.2,0.1,0.2,0.05,0.1,13811,0.8549473396752545,3.650432855109949
0.2,0.2,0.01,0.1,0.01,0.15,13847,0.8549328627109445,3.522086853274385
0.15,0.2,0.05,0.1,0.01,0.1,14114,0.8549072733530968,3.7483164316341497
0.01,0.2,0.01,0.2,0.05,0.1,14053,0.8548853195990521,4.201310633829082
0.15,0.2,0.2,0.05,0.2,0.1,14159,0.8548577965911937,3.940280590822777
0.15,0.2,0.15,0.05,0.2,0.1,14159,0.8548577965911937,3.940280590822777
0.01,0.2,0.2,0.2,0.01,0.05,14284,0.854828837666671,4.1907847863200285
0.2,0.2,0.05,0.1,0.01,0.05,14304,0.8548103329349612,3.4930440228336765
0.2,0.2,0.05,0.1,0.05,0.05,14304,0.8548103329349612,3.4930440228336765
0.2,0.2,0.2,0.2,0.01,0.2,13455,0.8547099213432685,3.6018771034185426
0.01,0.2,0.05,0.2,0.05,0.1,14045,0.8547081030163902,4.359695829948368
0.2,0.2,0.1,0.15,0.05,0.05,14204,0.8546965221829839,3.4196247152358437
0.2,0.2,0.1,0.15,0.01,0.05,14204,0.8546965221829839,3.4196247152358437
0.15,0.2,0.01,0.2,0.15,0.15,13689,0.8546563765499154,3.954532165014081
0.2,0.2,0.01,0.2,0.1,0.2,13427,0.8545897025500754,3.4803490912246633
0.01,0.2,0.01,0.2,0.1,0.1,14047,0.8545767237347597,4.612954691796314
0.01,0.2,0.01,0.2,0.01,0.05,14333,0.8545701106446958,4.521069422516743
0.15,0.2,0.05,0.1,0.15,0.2,13673,0.8545617313868804,3.722033677236171
0.2,0.2,0.01,0.2,0.15,0.15,13609,0.8545224547512127,3.5061160030308
0.15,0.2,0.05,0.1,0.05,0.2,13730,0.8544680226340341,3.7845399491198664
0.2,0.2,0.01,0.15,0.05,0.15,13762,0.8544515532981598,3.5056408298591477
0.2,0.2,0.05,0.1,0.15,0.1,14009,0.8544494231322509,3.4888033078701786
0.2,0.2,0.05,0.1,0.1,0.1,14009,0.8544494231322509,3.4888033078701786
